country,year,no.fruit,daily.fruit,no.veg,daily.veg,no.soda,daily.soda
qatar,2011,0.1599341581219146,0.5939958484288319,0.15378539175842887,0.6098705362692775,0.15108156987859994,0.6033573463766387
sudan,2012,0.19526546730307437,0.5396393970076835,0.08956490323919945,0.6911643042493284,0.34308442638523917,0.3811054863609786
syria,2010,0.06686743096977828,0.6292871301846168,0.05358306387621749,0.6443681653567946,0.2107228132292847,0.309004432910933
tunisia,2008,0.06246330836485541,0.7981461791425272,0.07508125288687004,0.7834227170338733,NA,NA
uae,2010,0.0877089853614182,0.45842059461489254,0.07933309525293555,0.5936778064840607,0.1319069232557959,0.43377455605069676
yemen,2008,0.24389192793534537,0.48762545791213374,0.18961658653132316,0.56093530245913,NA,NA
brunei,2014,0.1705795512637806,0.5437513384143176,0.13495261232968034,0.651635870717822,0.17141672640114364,0.46231277946427146
cambodia,2013,0.09040607660846749,0.5254035426236828,0.027332829090487818,0.7667727334838467,0.16844871552417084,0.420678917901873
china,2003,0.03330580905899715,0.7370461367124925,0.005488451606252289,0.9352501956929601,NA,NA
cookislands,2011,0.04662060810302471,0.7426402206097215,0.05188292637681869,0.7851541234009011,0.06477571785598907,0.6017913150608756
fiji,2010,0.07204859904448292,0.7513433835011494,0.03161029733332402,0.8709837143528654,NA,NA
kiribati,2011,0.1844644874674831,0.5428327212135635,0.2116609192108651,0.5247639976382017,0.5288528151458454,0.22167348509814935
laos,2015,0.05983512871395341,0.6251841979968072,0.027022182541080363,0.7837230880123278,0.12671112939423948,0.5025723852540834
malaysia,2012,0.08341052965532438,0.6791590811559738,0.05842246886329193,0.8063058244171214,0.2612548915169538,0.2935649231874225
nauru,2011,0.29295218012235436,0.4329714595010756,0.17454584559010883,0.5592164598379692,NA,NA
niue,2010,0.11538690579855887,0.5956890865924267,0.05606086312650491,0.6824624127946498,0.03240404181137689,0.7891363678753973
philippines,2003,0.06889164426824348,0.6652977968912719,0.052793885145067984,0.800851274875339,NA,NA
samoa,2011,0.1162428625935514,0.6920339671788477,0.08699059508874503,0.7083385477101385,0.19030399683848656,0.54152029522095535
solomon,2011,0.060953880181139605,0.6688199655984632,0.05022912428284282,0.7935613494094478,0.2564989604966136,0.4442480022247056
tokelau,2014,0.10534389369209345,0.6468872531702652,0.07844090126492761,0.6947006967018079,NA,NA
tonga,2010,0.12380224137152192,0.6175760977396229,0.047299781047531866,0.7873251082946009,0.12053326874376018,0.5629155414987288
tuvalu,2013,0.2601972731958399,0.6069629098777025,0.21493647387007897,0.6383125090036293,0.3266936402399898,0.5141590155365212
vanuatu,2011,0.045458787426024765,0.7725822553574888,0.045049056132073384,0.7552663068550471,0.301497881842343,0.392839019136175
vietnam,2013,0.030340065834618162,0.719977433795432,0.01637301037164286,0.8936027454805977,0.2431079966464274,0.30165043225633464
wallisfutuna,2015,0.11911403207574887,0.6187237327149767,0.2492339956844028,0.4824330283236257,0.10228574957526762,0.5673802617799482
myanmar,2007,0.07855087432333084,0.7408424831369368,0.01930112609714688,0.8899659081891872,NA,NA
bahamas,2013,0.20051868764757338,0.5452014786449366,0.23852662192509905,0.5167129436025771,0.10651734614255459,0.6912244955123318
